index,index_type,name,rank,tab_item,trend,zhou
100%,搜索指数,杨幂,1,周榜,up,第51周
32.69%,搜索指数,张柏芝,2,周榜,up,第51周
31.96%,搜索指数,刘德华,3,周榜,up,第51周
31.55%,搜索指数,刘恺威,4,周榜,up,第51周
25.2%,搜索指数,赵丽颖,5,周榜,down,第51周
22.12%,搜索指数,王鸥,6,周榜,up,第51周
21.96%,搜索指数,李小璐,7,周榜,up,第51周
19.38%,搜索指数,刘诗诗,8,周榜,up,第51周
17.69%,搜索指数,贾乃亮,9,周榜,up,第51周
17.45%,搜索指数,侯明昊,10,周榜,down,第51周
17.4%,搜索指数,张云雷,11,周榜,down,第51周
17.19%,搜索指数,杨超越,12,周榜,down,第51周
16.56%,搜索指数,迪丽热巴,13,周榜,down,第51周
16.21%,搜索指数,郭德纲,14,周榜,down,第51周
15.98%,搜索指数,金瀚,15,周榜,down,第51周
15.07%,搜索指数,李易峰,16,周榜,up,第51周
13.53%,搜索指数,周星驰,17,周榜,down,第51周
13.44%,搜索指数,蔡徐坤,18,周榜,down,第51周
11.98%,搜索指数,易烊千玺,19,周榜,down,第51周
11.33%,搜索指数,唐嫣,20,周榜,up,第51周
100%,资讯指数,杨幂,1,周榜,up,第51周
81.22%,资讯指数,张柏芝,2,周榜,up,第51周
72.39%,资讯指数,刘恺威,3,周榜,up,第51周
49.24%,资讯指数,王鸥,4,周榜,up,第51周
45.17%,资讯指数,谢霆锋,5,周榜,up,第51周
36.24%,资讯指数,赵丽颖,6,周榜,up,第51周
35.17%,资讯指数,刘德华,7,周榜,up,第51周
30.55%,资讯指数,贾乃亮,8,周榜,up,第51周
30.42%,资讯指数,李小璐,9,周榜,up,第51周
28.37%,资讯指数,刘诗诗,10,周榜,up,第51周
27.6%,资讯指数,ANGELABABY,11,周榜,up,第51周
24.37%,资讯指数,谢娜,12,周榜,up,第51周
24.35%,资讯指数,唐嫣,13,周榜,up,第51周
21.34%,资讯指数,李易峰,14,周榜,up,第51周
21.1%,资讯指数,吴奇隆,15,周榜,up,第51周
20.99%,资讯指数,胡歌,16,周榜,up,第51周
20.13%,资讯指数,迪丽热巴,17,周榜,up,第51周
19.57%,资讯指数,谢贤,18,周榜,up,第51周
19.41%,资讯指数,冯绍峰,19,周榜,up,第51周
19.41%,资讯指数,钟欣潼,20,周榜,up,第51周
100%,搜索指数,金瀚,1,周榜,fair,第50周
95.71%,搜索指数,赵丽颖,2,周榜,fair,第50周
68.38%,搜索指数,张云雷,3,周榜,fair,第50周
